date,pm2.5,pm10,temp,humidity
2019.9.16 19:01,2,3,25.7,52.6
2019.9.16 19:01,3,3,25.7,52.6
2019.9.16 19:01,3,3,25.7,52.6
2019.9.16 19:01,1,1,25.7,52.5
2019.9.16 19:01,2,2,25.7,52.6
2019.9.16 19:01,3,3,25.7,52.6
2019.9.16 19:01,2,2,25.7,52.5
2019.9.16 19:01,3,5,25.7,52.5
2019.9.16 19:02,3,5,25.7,52.5
2019.9.16 19:02,2,4,25.7,52.4
2019.9.16 19:02,2,4,25.7,52.3
2019.9.16 19:02,2,3,25.7,52.3
2019.9.16 19:02,2,3,25.7,52.3
2019.9.16 19:02,3,5,25.7,52.3
2019.9.16 19:02,3,5,25.7,52.3
2019.9.16 19:02,2,2,25.7,52.3
2019.9.16 19:02,2,2,25.7,52.4
2019.9.16 19:02,3,3,25.7,52.4
2019.9.16 19:02,3,3,25.7,52.4
2019.9.16 19:02,1,1,25.7,52.4
2019.9.16 19:03,1,1,25.7,52.4
2019.9.16 19:03,2,2,25.7,52.4
2019.9.16 19:03,2,2,25.7,52.3
2019.9.16 19:03,3,3,25.7,52.3
2019.9.16 19:03,2,2,25.7,52.2
2019.9.16 19:03,3,3,25.7,52.2
2019.9.16 19:03,2,2,25.7,52.2
2019.9.16 19:03,3,3,25.7,52.3
2019.9.16 19:03,3,3,25.7,52.3
2019.9.16 19:03,3,4,25.7,52.4
2019.9.16 19:03,3,4,25.7,52.4
2019.9.16 19:03,4,7,25.7,52.4
2019.9.16 19:04,4,7,25.7,52.4
2019.9.16 19:04,3,5,25.7,52.4
2019.9.16 19:04,3,5,25.7,52.4
2019.9.16 19:04,3,5,25.7,52.3
2019.9.16 19:04,3,5,25.7,52.3
2019.9.16 19:04,2,3,25.7,52.3
2019.9.16 19:04,2,3,25.7,52.3
2019.9.16 19:04,3,3,25.7,52.3
2019.9.16 19:04,3,3,25.7,52.3
2019.9.16 19:04,3,3,25.7,52.3
2019.9.16 19:04,3,3,25.8,52.3
2019.9.16 19:04,3,3,25.7,52.3
2019.9.16 19:05,3,3,25.7,52.3
2019.9.16 19:05,2,2,25.7,52.3
2019.9.16 19:05,2,2,25.7,52.3
