datetime,pm2.5,pm10,temperature,humidity
2020-12-11 20:59:48,22,27,24.4,28.5
2020-12-11 20:59:54,27,30,24.5,28.6
2020-12-11 20:59:59,27,30,24.4,28.5
2020-12-11 21:00:05,30,35,24.5,28.5
2020-12-11 21:00:10,30,35,24.5,28.5
2020-12-11 21:00:15,24,34,24.5,28.4
2020-12-11 21:00:21,24,34,24.5,28.4
2020-12-11 21:00:26,28,35,24.4,28.4
2020-12-11 21:00:32,28,35,24.4,28.4
2020-12-11 21:00:37,25,29,24.4,28.4
2020-12-11 21:00:42,25,29,24.4,28.5
2020-12-11 21:00:48,27,34,24.5,28.6
2020-12-11 21:00:53,28,34,24.4,28.6
2020-12-11 21:00:59,29,39,24.4,28.5
2020-12-11 21:01:04,28,38,24.4,28.4
2020-12-11 21:01:10,23,26,24.4,28.4
2020-12-11 21:01:15,23,26,24.4,28.4
2020-12-11 21:01:20,24,29,24.5,28.5
2020-12-11 21:01:26,24,29,24.4,28.4
2020-12-11 21:01:31,29,30,24.4,28.4
2020-12-11 21:01:36,29,30,24.4,28.4
2020-12-11 21:01:42,28,29,24.4,28.3
2020-12-11 21:01:47,27,29,24.4,28.3
2020-12-11 21:01:53,26,30,24.4,28.3
2020-12-11 21:01:58,26,30,24.4,28.3
2020-12-11 21:02:03,26,28,24.4,28.4
2020-12-11 21:02:09,26,28,24.4,28.4
2020-12-11 21:02:14,25,30,24.4,28.4
2020-12-11 21:02:19,25,30,24.4,28.4
2020-12-11 21:02:25,25,38,24.4,28.4
2020-12-11 21:02:30,25,38,24.4,28.4
2020-12-11 21:02:36,27,31,24.4,28.4
2020-12-11 21:02:41,27,33,24.4,28.5
2020-12-11 21:02:46,27,31,24.4,28.5
2020-12-11 21:02:52,27,31,24.4,28.5
2020-12-11 21:02:57,26,26,24.4,28.5
2020-12-11 21:03:02,26,26,24.4,28.5
2020-12-11 21:03:08,26,27,24.4,28.5
2020-12-11 21:03:13,26,27,24.4,28.5
2020-12-11 21:03:19,27,34,24.4,28.5
2020-12-11 21:03:24,25,31,24.4,28.5
2020-12-11 21:03:30,27,35,24.4,28.5
2020-12-11 21:03:35,27,34,24.4,28.5
2020-12-11 21:03:41,24,31,24.4,28.6
2020-12-11 21:03:46,24,31,24.4,28.6
2020-12-11 21:03:51,23,30,24.4,28.6
2020-12-11 21:03:57,23,30,24.4,28.6
2020-12-11 21:04:02,23,28,24.4,28.6
2020-12-11 21:04:07,23,29,24.4,28.6
2020-12-11 21:04:13,22,27,24.4,28.7
2020-12-11 21:04:18,22,27,24.4,28.7
2020-12-11 21:04:23,24,29,24.4,28.6
2020-12-11 21:04:29,24,28,24.4,28.6
2020-12-11 21:04:34,23,29,24.4,28.6
2020-12-11 21:04:39,23,29,24.4,28.6
2020-12-11 21:04:45,26,36,24.4,28.6
2020-12-11 21:04:50,26,36,24.4,28.6
2020-12-11 21:04:55,25,32,24.4,28.6
2020-12-11 21:05:01,25,33,24.3,28.6
2020-12-11 21:05:06,26,29,24.4,28.6
2020-12-11 21:05:11,26,29,24.3,28.6
2020-12-11 21:05:17,26,30,24.4,28.6
2020-12-11 21:05:22,26,31,24.3,28.6
2020-12-11 21:05:27,27,33,24.4,28.6
2020-12-11 21:05:33,27,33,24.3,28.6
2020-12-11 21:05:38,25,35,24.4,28.6
2020-12-11 21:05:43,25,35,24.4,28.6
2020-12-11 21:05:49,23,24,24.3,28.6
2020-12-11 21:05:54,23,24,24.3,28.6
2020-12-11 21:05:59,27,31,24.4,28.7
2020-12-11 21:06:05,26,31,24.3,28.6
2020-12-11 21:06:11,26,30,24.3,28.6
2020-12-11 21:06:16,26,29,24.3,28.6
2020-12-11 21:06:21,24,30,24.3,28.6
2020-12-11 21:06:26,24,30,24.3,28.6
2020-12-11 21:06:32,27,31,24.3,28.6
2020-12-11 21:06:37,27,31,24.3,28.6
2020-12-11 21:06:43,29,35,24.3,28.6
2020-12-11 21:06:48,29,34,24.3,28.6
2020-12-11 21:06:54,28,31,24.3,28.6
2020-12-11 21:06:59,28,31,24.3,28.6
2020-12-11 21:07:04,29,30,24.3,28.6
2020-12-11 21:07:10,28,30,24.3,28.6
2020-12-11 21:07:15,27,31,24.3,28.6
2020-12-11 21:07:20,27,31,24.3,28.6
2020-12-11 21:07:26,24,31,24.3,28.6
2020-12-11 21:07:31,24,31,24.3,28.6
2020-12-11 21:07:36,25,34,24.3,28.6
2020-12-11 21:07:42,25,34,24.3,28.6
2020-12-11 21:07:47,26,35,24.3,28.6
2020-12-11 21:07:52,26,35,24.3,28.6
2020-12-11 21:07:58,25,30,24.3,28.6
2020-12-11 21:08:03,25,31,24.2,28.6
2020-12-11 21:08:09,25,30,24.3,28.7
2020-12-11 21:08:14,27,30,24.3,28.7
2020-12-11 21:08:19,26,30,24.3,28.7
2020-12-11 21:08:25,26,30,24.2,28.6
2020-12-11 21:08:30,26,35,24.3,28.7
2020-12-11 21:08:35,26,35,24.2,28.7
2020-12-11 21:08:41,27,32,24.3,28.7
2020-12-11 21:08:46,27,32,24.3,28.7
2020-12-11 21:08:51,23,27,24.3,28.7
2020-12-11 21:08:57,23,28,24.3,28.8
2020-12-11 21:09:02,24,29,24.2,28.7
2020-12-11 21:09:07,24,29,24.2,28.7
2020-12-11 21:09:13,22,27,24.2,28.7
2020-12-11 21:09:18,22,27,24.3,28.8
2020-12-11 21:09:23,23,25,24.3,28.8
2020-12-11 21:09:29,23,25,24.3,28.8
2020-12-11 21:09:34,24,27,24.2,28.8
2020-12-11 21:09:39,24,27,24.2,28.8
